datetime,time [d],exfiltration [mol d^-1],infiltration [mol d^-1],net exchange flux [mol d^-1],watershed boundary discharge [mol d^-1],net runoff [mol d^-1],net groundwater flux [mol d^-1],total evapotranspiration [m d^-1],snow precipitation [m d^-1],rain precipitation [m d^-1],surface air temperature [K],incoming shortwave radiation [W m^-2],incident shortwave radiation [W m^-2],surface water content [mol],subsurface water content [mol],snow water content [mol],canopy water content [mol],snow evaporation [m d^-1],surface evaporation [m d^-1],transpiration [m d^-1],canopy evaporation [m d^-1],canopy drainage [m d^-1],water to surface [m d^-1],snow to surface [m SWE d^-1],snowmelt [m d^-1],max ponded depth [m],SWE [m],canopy interception [m d^-1],net groundwater flux [m^3/d],net groundwater flux [m/d],rain precipitation [mm d^-1],snow precipitation [mm d^-1],snowmelt [mm d^-1],watershed boundary discharge [m^3/d],watershed boundary discharge [m/d],total evapotranspiration [mm d^-1],snow water content [m],surface water content [m],subsurface water content [m],exfiltration [m d^-1],canopy water content [m],total water content [m]
2015-10-21,13068.0,7765234623.435,-5448752229.64,2316482393.795,2222568588.517,2222568588.517,2.262950131469e-08,0.0004990567584355,0.0,0.0,282.4240106569,181.7831851957,180.1794978387,48493681927.31,10198325830050.0,0.0,16715218.8265,0.0,8.121164530308e-05,0.0004173638344198,4.812787126014e-07,4.76027098338e-08,4.76027098338e-08,0.0,0.0,4.861213993704,0.0,0.0,4.0773876242684685e-13,7.670126715950971e-21,0.0,0.0,0.0,40046.280874180185,0.0007533256023521531,0.49905675843549996,0.0,0.01643662757446781,3.4566582055549344,0.0026319772898474136,5.6655179759033326e-06,3.473100498647378
2015-10-22,13069.0,7585813718.694,-5339141135.663,2246672583.031,2163877689.118,2163877689.118,-3.178089535762e-07,0.0005135406102612,0.0,0.0,282.2298616557,179.7254416334,178.1611863462,48351785184.99,10194789516390.0,0.0,15927174.55554,0.0,7.620534838324e-05,0.0004371156962896,2.195655883945e-07,4.753571681889e-08,4.753571681889e-08,0.0,0.0,4.860720495077,0.0,0.0,-5.7262874518234235e-12,-1.0771933996666716e-19,0.0,0.0,0.0,38988.787191315314,0.0007334326922432044,0.5135406102612,0.0,0.01638853256879181,3.455459594348158,0.0025711637060341157,5.398415341515244e-06,3.4718535253322913
2015-10-23,13070.0,7401458467.337,-5226849138.604,2174609328.733,2114084334.524,2114084334.524,-4.464451330236e-07,0.0004799845300945,0.0,0.0,282.4692479955,183.2779714944,181.8900152754,48215256389.36,10191396229000.0,0.0,15540429.17547,0.0,6.683841600456e-05,0.0004130632919657,8.282212431982e-08,4.82770208825e-08,4.82770208825e-08,0.0,0.0,4.860319201278,0.0,0.0,-8.044056450875675e-12,-1.5131976150918147e-19,0.0,0.0,0.0,38091.60963106306,0.0007165555488171434,0.4799845300945,0.0,0.016342256994783536,3.45430946099334,0.0025086776565628765,5.2673304346631485e-06,3.470656985318558
2015-10-24,13071.0,7256726190.072,-5137655890.048,2119070300.024,2068223691.86,2068223691.86,-1.055411342422e-07,0.0004732344082824,0.0,0.0,282.1809495654,178.0191231254,176.7137286355,48058868700.04,10188088446310.0,0.0,15283552.48173,0.0,7.02896677577e-05,0.0004029065812032,3.815932149685e-08,4.890993035117e-08,4.890993035117e-08,0.0,0.0,4.859883604251,0.0,0.0,-1.901642058418018e-12,-3.5772501661685664e-20,0.0,0.0,0.0,37265.29174522522,0.0007010113732908589,0.47323440828240004,0.0,0.016289250374035755,3.4531883089171926,0.002459621564204798,5.180263699786347e-06,3.469482739554928
2015-10-25,13072.0,7149911194.943,-5063733629.935,2086177565.008,2020475118.88,2020475118.88,-1.980322159389e-07,0.0004110163863451,0.0,0.0,281.5866263667,162.4334529606,161.0430255973,47900926292.58,10185013463790.0,0.0,15094620.02529,0.0,7.585207014822e-05,0.0003351491669586,1.51492382619e-08,4.905785411254e-08,4.905785411254e-08,0.0,0.0,4.859448621363,0.0,0.0,-3.568148034935135e-12,-6.712177033728577e-20,0.0,0.0,0.0,36404.95709693694,0.0006848272956936788,0.4110163863451,0.0,0.01623571679138212,3.4521460629900838,0.0024234172954314833,5.116226235526807e-06,3.4683868960077016
2015-10-26,13073.0,7050103132.61,-5010933950.216,2039169182.394,1974668840.854,1974668840.854,6.391981803239e-07,0.0002809697637306,0.0,0.0,280.3943729499,127.8731047985,126.5359947791,47737651690.53,10182373257810.0,0.0,14948574.62158,0.0,7.725206677582e-05,0.0002037174562772,2.406776705449e-10,4.91865278914e-08,4.91865278914e-08,0.0,0.0,4.859062581087,0.0,0.0,1.151708433016036e-11,2.1665219093922192e-19,0.0,0.0,0.0,35579.618754126124,0.0006693015467184936,0.28096976373059995,0.0,0.016180375895009515,3.4512511818284892,0.002389587982327235,5.066725067243848e-06,3.467436624448566
2015-10-27,13074.0,7010368114.021,-10060287287.15,-3049919173.129,2044140266.107,2044140266.107,2.291516818614e-07,9.084682974819e-05,0.0,0.001872222963593,279.4372710183,65.98347370546,64.9987949795,47791236526.84,10185349939560.0,0.0,196208495.2323,0.0,5.818999128036e-05,2.482301605167e-05,7.83382241616e-06,5.505376589215e-05,0.001802951545369,0.0,0.0,4.860274377939,0.0,0.0001243251841164,4.128859132637838e-12,7.766951699944251e-20,1.8722229635930001,0.0,0.0,36831.356146072074,0.0006928484480583974,0.09084682974819,0.0,0.016198538137245245,3.452260109329721,0.0023761200484386322,6.650363170844003e-05,3.4685251510986745
2015-10-28,13075.0,7256605933.084,-22144094483.43,-14887488550.35,2459280437.411,2459280437.411,-1.932952144852e-07,5.748208418052e-05,0.0,0.006121962376236,277.9293282461,61.29228871723,60.20379907352,48327327371.55,10200237428530.0,0.0,205643022.9001,0.0,5.718615063658e-05,0.0,2.959335439458e-07,0.0004006291194034,0.006118468679633,0.0,0.0,4.865984956698,0.0,0.000404122816007,-3.482796657390991e-12,-6.551619357718558e-20,6.121962376236,0.0,0.0,44311.359232630624,0.0008335575902751661,0.05748208418052,0.0,0.016380242747214606,3.457306129800711,0.0024595808038573377,6.970140534520134e-05,3.473756073953271
2015-10-29,13076.0,7707069710.233,-22136773465.49,-14429703755.26,3148769910.218,3148769910.218,-1.753801854698e-08,4.303732443981e-05,0.0,0.006076336945575,278.2847286239,83.36984966688,82.23832549336,48560301147.14,10214667132290.0,0.0,194496123.3936,0.0,4.231052302064e-05,0.0,7.268014191708e-07,0.0004018617586355,0.006079388272443,0.0,0.0,4.86835632783,0.0,0.0003988104317669,-3.160003341798198e-13,-5.944400750656917e-21,6.076336945575,0.0,0.0,56734.5929769009,0.0010672556975467964,0.04303732443981,0.0,0.01645920773877228,3.462196986862638,0.0026122626594418364,6.592323407594207e-05,3.478722117835486
2015-10-30,13077.0,8009209674.394,-22888938628.68,-14879728954.29,3338330438.642,3338330438.642,3.429314417646e-09,5.583889530308e-05,0.0,0.006387607728916,277.0045414723,61.73551895924,60.85979725597,49016930106.33,10229546861570.0,0.0,200694635.9055,0.0,5.518051485245e-05,0.0,6.583804506306e-07,0.000415801807635,0.00638484832546,0.0,0.0,4.873186830689,0.0,0.0004185612110912,6.178944896659459e-14,1.1623444885684507e-21,6.387607728916,0.0,0.0,60150.097993549556,0.00113150604284322,0.05583889530308,0.0,0.01661397924391749,3.4672403772356533,0.002714671094291587,6.802418078950565e-05,3.4839223806603603
